iter	RMSE
0	1.095110216
1	1.094952456
2	1.094792454
3	1.094633538
4	1.094475154
5	1.094317026
6	1.094159651
7	1.094002366
8	1.093846557
9	1.093691671
10	1.093536485
11	1.093382388
12	1.093228492
13	1.093075575
14	1.092922748
15	1.092770066
16	1.092617308
17	1.092465362
18	1.092316232
19	1.092165246
20	1.09201652
21	1.091866661
22	1.091717004
23	1.091568774
24	1.091420079
25	1.091271808
26	1.091124075
27	1.090977992
28	1.090832502
29	1.090686325
30	1.090540796
31	1.090396251
32	1.090251687
33	1.090107327
34	1.089964453
35	1.089820947
36	1.089678035
37	1.089535997
38	1.089394052
39	1.089252312
40	1.089111836
41	1.088971398
42	1.0888315
43	1.088692477
44	1.088553548
45	1.088416164
46	1.088277814
47	1.088139391
48	1.088002457
49	1.087866624
50	1.087730159
51	1.087594124
52	1.087458463
53	1.087323065
54	1.087188879
55	1.087054957
56	1.086921241
57	1.086788515
58	1.086654767
59	1.086522847
60	1.08639259
61	1.086260919
62	1.086130854
63	1.086000997
64	1.085870733
65	1.085742188
66	1.0856129
67	1.085483709
68	1.085355567
69	1.085226849
70	1.085099572
71	1.084972392
72	1.084844973
73	1.08471922
74	1.084592835
75	1.084467949
76	1.084342825
77	1.084218638
78	1.084094158
79	1.083970111
80	1.083847171
81	1.083723489
82	1.08360125
83	1.08347911
84	1.083357741
85	1.083236303
86	1.083116197
87	1.082995293
88	1.082874824
89	1.082754791
90	1.082635698
91	1.082516087
92	1.082397922
93	1.082279857
94	1.082162453
95	1.082044868
96	1.08192828
97	1.081811119
98	1.081694899
99	1.081579567
100	1.081464165
101	1.081348808
102	1.081234169
103	1.081120136
104	1.081006203
105	1.080892483
106	1.080780157
107	1.080666919
108	1.080553782
109	1.080441871
110	1.080329891
111	1.080218463
112	1.080108373
113	1.079997147
114	1.079886809
115	1.07977753
116	1.079667507
117	1.079557474
118	1.079448949
