iter	Passed	Remaining
0	265	2656252
1	475	2378078
2	681	2270178
3	889	2223242
4	1096	2191576
5	1302	2169091
6	1509	2154826
7	1716	2144317
8	1924	2136638
9	2135	2133691
10	2346	2130383
11	2556	2128073
12	2768	2127109
13	2982	2127691
14	3193	2125523
15	3415	2131093
16	3621	2126780
17	3829	2123472
18	4040	2122739
19	4248	2119876
20	4457	2118340
21	4665	2115827
22	4871	2113319
23	5080	2111896
24	5289	2110376
25	5494	2107946
26	5703	2106731
27	5909	2104772
28	6118	2103804
29	6325	2102162
30	6535	2101690
31	6747	2101751
32	6953	2100050
33	7160	2098974
34	7369	2098219
35	7574	2096528
36	7781	2095250
37	7991	2094982
38	8200	2094398
39	8405	2092981
40	8613	2092241
41	8820	2091217
42	9030	2091189
43	9237	2090187
44	9443	2089108
45	9655	2089322
46	9863	2088759
47	10069	2087784
48	10281	2087949
49	10490	2087594
50	10701	2087579
51	10905	2086296
52	11113	2085782
53	11323	2085563
54	11548	2088152
55	11769	2089889
56	11983	2090378
57	12194	2090293
58	12407	2090631
59	12616	2090187
60	12827	2090072
61	13032	2088980
62	13241	2088515
63	13448	2087834
64	13657	2087436
65	13869	2087595
66	14076	2086909
67	14287	2086783
68	14497	2086623
69	14709	2086582
70	14919	2086432
71	15129	2086250
72	15334	2085264
73	15547	2085500
74	15761	2085812
75	15976	2086183
76	16196	2087215
77	16411	2087583
78	16622	2087452
79	16828	2086711
80	17034	2085939
81	17242	2085547
82	17451	2085124
83	17661	2084932
84	17870	2084546
85	18077	2083946
86	18285	2083545
87	18493	2083065
88	18703	2082857
89	18913	2082552
90	19126	2082664
91	19335	2082363
92	19546	2082214
93	19755	2081930
94	19967	2081864
95	20178	2081712
96	20392	2081876
97	20603	2081746
98	20810	2081264
99	21018	2080857
100	21227	2080480
101	21434	2080015
102	21641	2079484
103	21852	2079346
104	22065	2079412
105	22271	2078824
106	22480	2078544
107	22691	2078349
108	22896	2077720
109	23103	2077233
110	23311	2076810
111	23520	2076537
112	23732	2076517
113	23942	2076312
114	24153	2076111
115	24365	2076131
116	24574	2075807
117	24783	2075508
118	24989	2074968
